V(kV),Rin(cm),Rout(cm),ThetaIn(deg),ThetaOut(deg),Wavelength(angstrom),dIn(angstrom),dOut(angstrom),dIn Avg(ang),dOut Avg(ang)
3.9,1.198,2.216,0.04425444658841303,0.08134861534072742,0.2449489742783178,2.7684104657600552,1.5072127795388681,2.353622637039291,1.3068423728426326
4.7,1.052,1.998,0.03888438219097347,0.07346669291651245,0.23570226039551584,3.0315727596886264,1.6055875985843993,2.353622637039291,1.3068423728426326
2.7,1.302,2.49,0.04807353764468961,0.09119727100844664,0.227429413073671,2.3663438196898303,1.248639184039148,2.353622637039291,1.3068423728426326
3.1,1.322,2.204,0.048807347451803575,0.08091577068361724,0.21997067253202993,2.25435351865965,1.3607414975376664,2.353622637039291,1.3068423728426326
4.3,1.112,1.948,0.04109241706113485,0.07165356996684369,0.21320071635561044,2.5948915243644857,1.4889925432642646,2.353622637039291,1.3068423728426326
4.5,1.096,1.866,0.04050376123323814,0.06867595718459196,0.20701966780270625,2.5562599231226697,1.5084062654355768,2.353622637039291,1.3068423728426326
2.5,1.42,2.576,0.05239990994512706,0.09427412686884182,0.2013468165642073,1.9221310461777232,1.0694629666639266,2.353622637039291,1.3068423728426326
3.5,1.192,2.198,0.044033952060779216,0.08069930242373673,0.19611613513818404,2.227593914842638,1.2164241498781228,2.353622637039291,1.3068423728426326
3.7,1.084,2.094,0.04006219541436797,0.07694240129484176,0.19127301391900148,2.387839537998206,1.2441896020879875,2.353622637039291,1.3068423728426326
4.9,1.06,1.792,0.03917887655149123,0.0659846227639945,0.1867718419094071,2.3841882270209007,1.4162954650451567,2.353622637039291,1.3068423728426326
3.3,1.188,2.236,0.043886946163610184,0.08206974951823869,0.18257418583505536,2.080719020514985,1.113560727932551,2.353622637039291,1.3068423728426326
4.1,1.102,1.998,0.04072452044399072,0.07346669291651245,0.1786474002526241,2.193970470120302,1.2169338125295877,2.353622637039291,1.3068423728426326
2.9,1.296,2.408,0.04785335404340186,0.08825700213121593,0.1749635530559413,1.8288200535507178,0.9925042544169708,2.353622637039291,1.3068423728426326
