V(kV),Rin(cm),Rout(cm),ThetaIn(deg),ThetaOut(deg),Wavelength(angstrom),dIn(angstrom),dOut(angstrom),dIn Avg(ang),dOut Avg(ang)
2.5,1.59,2.7119999999999997,0.0586188385027758,0.0991250572094126,0.2449489742783178,2.0905336729273114,1.2375809768256532,2.16332699351028,1.2721789096044072
2.7,1.4680000000000002,2.502,0.054157576360919585,0.0916270247682553,0.23570226039551584,2.177142483973494,1.2880064105700888,2.16332699351028,1.2721789096044072
2.9,1.4340000000000002,2.46,0.052912698888872546,0.09012229153664156,0.227429413073671,2.1501036321762172,1.263491894287262,2.16332699351028,1.2721789096044072
3.1,1.3459999999999999,2.32,0.049687640611780076,0.08509472062457199,0.21997067253202993,2.2144461757382605,1.2940659971833064,2.16332699351028,1.2721789096044072
3.3,1.3219999999999998,2.278,0.04880734745180357,0.08358300709572133,0.21320071635561044,2.1849721127121797,1.2768693492942231,2.16332699351028,1.2721789096044072
3.5,1.3159999999999998,2.228,0.04858722651059198,0.08178133701724467,0.20701966780270625,2.1312303422581276,1.2671021282455348,2.16332699351028,1.2721789096044072
3.7,1.2819999999999998,2.1519999999999997,0.047339520046505774,0.07903870396967427,0.2013468165642073,2.1274195437699173,1.275050063097964,2.16332699351028,1.2721789096044072
3.9,1.252,2.094,0.04623811077304542,0.07694240129484176,0.19611613513818404,2.121475453859384,1.2756930585301514,2.16332699351028,1.2721789096044072
4.1,1.202,2.048,0.04440143335857017,0.07527787181180089,0.19127301391900148,2.1546137435655615,1.271647155135698,2.16332699351028,1.2721789096044072
4.3,1.148,1.974,0.042416472886094035,0.07259663377795662,0.1867718419094071,2.2023030944303663,1.2874977081406858,2.16332699351028,1.2721789096044072
4.5,1.104,1.9980000000000002,0.04079810331582612,0.07346669291651246,0.18257418583505536,2.2381536088976226,1.2436828060389074,2.16332699351028,1.2721789096044072
4.7,1.112,1.902,0.04109241706113485,0.06998381822345616,0.1786474002526241,2.1743389641902824,1.2773903746087512,2.16332699351028,1.2721789096044072
4.9,1.0979999999999999,1.858,0.04057734939957259,0.0683851922800792,0.1749635530559413,2.1565180871349128,1.2802479028990639,2.16332699351028,1.2721789096044072
