V(kV),Rin(cm),Rout(cm),ThetaIn(deg),ThetaOut(deg),Wavelength(angstrom),dIn(angstrom),dOut(angstrom),dIn Avg(ang),dOut Avg(ang)
3.9,1.198,2.2159999999999997,0.04425444658841303,0.0813486153407274,0.2449489742783178,2.7684104657600552,1.5072127795388683,2.353622637039291,1.3068423728426326
4.7,1.052,1.9980000000000002,0.03888438219097347,0.07346669291651246,0.23570226039551584,3.0315727596886264,1.605587598584399,2.353622637039291,1.3068423728426326
2.7,1.3019999999999998,2.49,0.0480735376446896,0.09119727100844664,0.227429413073671,2.3663438196898308,1.248639184039148,2.353622637039291,1.3068423728426326
3.1,1.3219999999999998,2.204,0.04880734745180357,0.08091577068361724,0.21997067253202993,2.2543535186596504,1.3607414975376664,2.353622637039291,1.3068423728426326
4.3,1.112,1.9480000000000002,0.04109241706113485,0.0716535699668437,0.21320071635561044,2.5948915243644857,1.4889925432642643,2.353622637039291,1.3068423728426326
4.5,1.0959999999999999,1.8659999999999999,0.040503761233238136,0.06867595718459196,0.20701966780270625,2.55625992312267,1.5084062654355768,2.353622637039291,1.3068423728426326
2.5,1.42,2.576,0.05239990994512706,0.09427412686884182,0.2013468165642073,1.9221310461777232,1.0694629666639266,2.353622637039291,1.3068423728426326
3.5,1.192,2.198,0.044033952060779216,0.08069930242373673,0.19611613513818404,2.227593914842638,1.2164241498781228,2.353622637039291,1.3068423728426326
3.7,1.084,2.094,0.04006219541436797,0.07694240129484176,0.19127301391900148,2.387839537998206,1.2441896020879875,2.353622637039291,1.3068423728426326
4.9,1.06,1.7919999999999998,0.03917887655149123,0.06598462276399449,0.1867718419094071,2.3841882270209007,1.416295465045157,2.353622637039291,1.3068423728426326
3.3,1.188,2.2359999999999998,0.043886946163610184,0.08206974951823866,0.18257418583505536,2.080719020514985,1.1135607279325512,2.353622637039291,1.3068423728426326
4.1,1.102,1.9980000000000002,0.04072452044399072,0.07346669291651246,0.1786474002526241,2.193970470120302,1.2169338125295874,2.353622637039291,1.3068423728426326
2.9,1.296,2.408,0.04785335404340186,0.08825700213121593,0.1749635530559413,1.8288200535507178,0.9925042544169708,2.353622637039291,1.3068423728426326
